CensusBlockGroup,GEOID1,Condemnations,Declarations_of_Taking,AS_2007,CS_2007,AS_2008,CS_2008,AS_2009,CS_2009,AS_2010,CS_2010,AS_2011,CS_2011,AS_2012,CS_2012,AS_2013,CS_2013,AS_2014,CS_2014,AS_2015,CS_2015,AS_2016,CS_2016,AS_2017,CS_2017,Expected_Change,Actual_Change,CS
1.001,420710001001,0,0,NA,NA,217000,1,NA,NA,NA,NA,129250,2,49311,1,137000,1,NA,NA,170750,2,262667,3,275000,1,NA,NA,11
1.002,420710001002,0,0,NA,NA,NA,NA,465000,1,NA,NA,NA,NA,109000,1,NA,NA,370975,2,NA,NA,NA,NA,162500,2,NA,NA,6
1.003,420710001003,0,0,43000,2,69817,3,NA,NA,86475,4,137400,2,122000,2,109686,7,185450,10,83375,4,175577,13,200167,6,47317,157167,53
2.001,420710002001,3,6,93287,23,107998,20,90776,16,67167,9,72950,10,74520,15,73636,15,80772,12,92060,21,87614,36,89904,38,102653,-3383,215
2.002,420710002002,7,7,82225,13,78825,12,100520,10,106608,13,75800,9,100388,17,91041,13,90842,12,86342,12,129025,32,123253,30,90480,41028,173
3.001,420710003001,0,0,100218,11,86167,6,108473,11,91555,5,97245,11,100525,12,86362,13,110168,11,107451,20,110884,18,121447,19,110280,21229,137
3.002,420710003002,2,2,85265,17,87385,17,84482,18,80320,10,83043,11,75635,9,76556,11,74888,16,87817,26,92811,28,102646,31,93815,17381,194
3.003,420710003003,6,6,97996,14,99527,11,113382,17,108617,6,71711,9,74183,13,92361,19,97888,17,96502,22,115409,21,141928,40,107835,43931,189
3.004,420710003004,2,2,92311,14,99036,11,98778,13,85250,8,67892,6,97625,12,97370,10,101531,16,101611,19,117486,20,140005,33,101579,47694,162
4.001,420710004001,0,0,122260,5,108850,12,102626,9,81774,9,85061,9,83225,4,73453,11,84916,19,141936,14,108593,19,122132,28,134535,-128,139
4.002,420710004002,1,1,81883,6,148067,3,80000,1,85600,5,44000,1,91080,5,85224,5,104641,5,87938,8,95463,8,94714,7,90104,12831,54
4.003,420710004003,0,0,90177,5,98506,7,97360,5,147500,2,NA,NA,64657,3,124350,4,57633,3,166500,4,332650,6,159117,6,99231,68939,45
4.004,420710004004,1,1,102740,3,98000,2,108486,4,78950,2,66000,2,131625,2,117475,4,125257,7,136860,5,78205,9,168750,4,113055,66010,44
5.001,420710005001,1,2,93271,7,102463,8,140940,5,120830,5,112180,5,112697,15,114700,5,127441,17,134830,10,142813,16,145145,20,102635,51874,113
5.002,420710005002,3,4,124818,20,151805,16,150866,9,117590,10,138583,7,99247,15,140150,10,127167,9,138256,15,103097,14,133705,22,137349,8888,147
5.003,420710005003,0,0,107886,7,161933,3,146800,4,255000,1,126213,8,135242,12,137100,12,123184,8,142961,15,175646,14,156109,16,118717,48224,100
5.004,420710005004,0,0,180000,3,234875,4,189467,3,213800,5,190500,5,249500,6,169250,6,190714,7,214900,7,210783,6,240475,8,198071,60475,60
6.001,420710006001,0,0,218583,6,249717,6,284967,3,211343,7,180767,6,185333,6,175715,10,169029,9,238817,6,199100,17,194623,11,240528,-23961,87
6.002,420710006002,1,2,55192,3,70150,5,124757,7,70967,3,75480,5,55000,2,67071,7,60222,5,100727,11,99189,9,112919,16,60733,57727,73
6.003,420710006003,1,1,197488,8,134367,6,132589,9,129292,5,184263,8,169650,6,153488,8,142750,6,172389,9,204242,12,196727,15,217315,-761,92
6.004,420710006004,1,1,220188,8,132633,3,103500,4,78625,2,105130,5,156333,6,185680,5,199673,7,130567,6,160531,10,167600,9,242294,-52588,65
7.001,420710007001,4,4,96255,11,107206,8,75610,6,77658,6,76667,3,58753,6,97747,6,78843,7,122607,12,86906,11,118279,12,105919,22025,88
7.002,420710007002,1,1,151600,4,135633,6,174967,3,90075,4,217675,8,132899,6,100499,9,177970,10,162056,9,212964,14,141384,16,166820,-10216,89
7.003,420710007003,2,3,172467,3,189500,4,106425,5,159817,6,236150,6,197600,3,140722,9,184467,9,108736,7,155964,9,148226,16,189782,-24240,77
8.001,420710008001,1,2,63250,4,68480,7,81529,14,86050,4,47000,4,60000,3,52718,2,165830,5,69843,7,70530,8,95367,8,69600,32117,66
