GEOID,CBG,Count,Label
420710001001,1500000US420710001001,19.50,Margin of Error Median gross rent as a percentage of household income
420710001001,1500000US420710001001,36.80,Median gross rent as a percentage of household income
420710001001,1500000US420710001001,124.00,Margin of Error Median Gross Rent
420710001001,1500000US420710001001,784.00,Median gross rent
420710001001,1500000US420710001001,17525.00,Margin of Error Median household income in the past 12 months
420710001001,1500000US420710001001,29028.00,Median household income in the past 12 months
420710001001,1500000US420710001001,NA,Median value
420710001001,1500000US420710001001,NA,Margin of Error Median value
420710001001,1500000US420710001001,NA,Ideal Income
420710001001,1500000US420710001001,NA,Ideal median household Income - Actual median household Income
420710001001,1500000US420710001001,NA,Ideal median household income/Actual median household income
420710001002,1500000US420710001002,2.15,Ideal median household income/Actual median household income
420710001002,1500000US420710001002,10.50,Margin of Error Median gross rent as a percentage of household income
420710001002,1500000US420710001002,42.20,Median gross rent as a percentage of household income
420710001002,1500000US420710001002,91.00,Margin of Error Median Gross Rent
420710001002,1500000US420710001002,787.00,Median gross rent
420710001002,1500000US420710001002,8946.00,Margin of Error Median household income in the past 12 months
420710001002,1500000US420710001002,25200.00,Median household income in the past 12 months
420710001002,1500000US420710001002,54170.37,Ideal median household Income - Actual median household Income
420710001002,1500000US420710001002,79370.37,Ideal Income
420710001002,1500000US420710001002,185129.00,Margin of Error Median value
420710001002,1500000US420710001002,214300.00,Median value
420710001003,1500000US420710001003,0.79,Ideal median household income/Actual median household income
420710001003,1500000US420710001003,5.10,Margin of Error Median gross rent as a percentage of household income
420710001003,1500000US420710001003,34.10,Median gross rent as a percentage of household income
420710001003,1500000US420710001003,79.00,Margin of Error Median Gross Rent
420710001003,1500000US420710001003,778.00,Median gross rent
420710001003,1500000US420710001003,5563.00,Margin of Error Median household income in the past 12 months
420710001003,1500000US420710001003,18501.04,Ideal median household Income - Actual median household Income
420710001003,1500000US420710001003,23536.00,Median household income in the past 12 months
420710001003,1500000US420710001003,42037.04,Ideal Income
420710001003,1500000US420710001003,42184.00,Margin of Error Median value
420710001003,1500000US420710001003,113500.00,Median value
420710002001,1500000US420710002001,-20817.63,Ideal median household Income - Actual median household Income
420710002001,1500000US420710002001,-0.36,Ideal median household income/Actual median household income
420710002001,1500000US420710002001,9916.00,Margin of Error Median value
420710002001,1500000US420710002001,11955.00,Margin of Error Median household income in the past 12 months
420710002001,1500000US420710002001,36370.37,Ideal Income
420710002001,1500000US420710002001,57188.00,Median household income in the past 12 months
420710002001,1500000US420710002001,98200.00,Median value
420710002001,1500000US420710002001,NA,Median gross rent
420710002001,1500000US420710002001,NA,Margin of Error Median Gross Rent
420710002001,1500000US420710002001,NA,Median gross rent as a percentage of household income
420710002001,1500000US420710002001,NA,Margin of Error Median gross rent as a percentage of household income
420710002002,1500000US420710002002,-15237.67,Ideal median household Income - Actual median household Income
420710002002,1500000US420710002002,-0.28,Ideal median household income/Actual median household income
420710002002,1500000US420710002002,12.10,Margin of Error Median gross rent as a percentage of household income
420710002002,1500000US420710002002,32.00,Median gross rent as a percentage of household income
420710002002,1500000US420710002002,67.00,Margin of Error Median Gross Rent
420710002002,1500000US420710002002,943.00,Median gross rent
420710002002,1500000US420710002002,3089.00,Margin of Error Median household income in the past 12 months
420710002002,1500000US420710002002,11209.00,Margin of Error Median value
420710002002,1500000US420710002002,38333.33,Ideal Income
420710002002,1500000US420710002002,53571.00,Median household income in the past 12 months
