Id,Number,Geography,Median household income in the past 12 months,Margin of Error Median household income in the past 12 months,Median value,Margin of Error Median value,Ideal Income,Ideal median household Income - Actual median household Income,Ideal medial household income/Actual median household income,Zaighams Data,Median gross rent,Margin of Error Median Gross Rent,Median gross rent as a percentage of household income,Margin of Error Median gross rent as a percentage of household income
1500000US420710001001,420710001001,"Block Group 1, Census Tract 1, Lancaster County, Pennsylvania",29028,17525,NA,NA,NA,NA,NA,1.557827361,784,124,36.8,19.5
1500000US420710001002,420710001002,"Block Group 2, Census Tract 1, Lancaster County, Pennsylvania",25200,8946,214300,185129,79370.37,54170.37,2.15,0.642738511,787,91,42.2,10.5
1500000US420710001003,420710001003,"Block Group 3, Census Tract 1, Lancaster County, Pennsylvania",23536,5563,113500,42184,42037.04,18501.04,0.79,3.301650878,778,79,34.1,5.1
1500000US420710002001,420710002001,"Block Group 1, Census Tract 2, Lancaster County, Pennsylvania",57188,11955,98200,9916,36370.37,-20817.63,-0.36,-0.448499788,NA,NA,NA,NA
1500000US420710002002,420710002002,"Block Group 2, Census Tract 2, Lancaster County, Pennsylvania",53571,3089,103500,11209,38333.33,-15237.67,-0.28,0.594018393,943,67,32,12.1
1500000US420710003001,420710003001,"Block Group 1, Census Tract 3, Lancaster County, Pennsylvania",48859,33857,123800,10080,45851.85,-3007.15,-0.06,0.845412366,881,437,46.7,42.7
1500000US420710003002,420710003002,"Block Group 2, Census Tract 3, Lancaster County, Pennsylvania",51848,9200,99400,17042,36814.81,-15033.19,-0.29,0.156334266,1016,91,23.2,4.5
1500000US420710003003,420710003003,"Block Group 3, Census Tract 3, Lancaster County, Pennsylvania",45243,17159,111800,12499,41407.41,-3835.59,-0.08,-0.164567537,776,62,29.1,9.7
1500000US420710003004,420710003004,"Block Group 4, Census Tract 3, Lancaster County, Pennsylvania",40595,21654,115500,11639,42777.78,2182.78,0.05,0.425024595,773,147,50,NA
1500000US420710004001,420710004001,"Block Group 1, Census Tract 4, Lancaster County, Pennsylvania",53548,9149,109400,17821,40518.52,-13029.48,-0.24,0.725949598,767,60,19.5,7.5
