Row Labels,Average Sale Price 2007,Average Sale Price 2017,Change in Sale Price 2007 - 2017,Percent Change in Sale Price 2007 - 2017,Total Count of Open Code Violations Older than a Year,Total Count of Open Code Violations,Total Count of Closed Violations,Average Days To Close a Code Violation,Count of Condemnations 2007 - 2017,Count Declaration of Taking,Count of Single Family Properties,Percent of Single Family Properties,Percent of Rental Properties,Count of Parcels owned by a City Resident,Percent of City Owned Properties,Percent of Non Locally Owned Properties,Count of Parcels owned by a County Resident,Count of Parcels owned by a US Resident (not PA),Count of Parcels owned by a State Resident,Count of All Parcels,Count of all Rental Properties
1.001,NA,275000,NA,NA,8,25,763,72,0,0,28,0.12,0.63,181,0.80,0.20,23,6,16,226,142
1.002,NA,162500,NA,NA,11,11,608,96,0,0,18,0.06,0.74,228,0.81,0.19,34,7,12,281,207
1.003,43000,200167,157167,3.66,9,23,1483,78,0,0,108,0.27,0.77,337,0.84,0.16,33,18,11,399,307
2.001,93287,89904,-3383,-0.04,16,50,2192,50,4,6,498,0.92,0.31,479,0.89,0.11,39,12,11,541,166
2.002,82225,123253,41028,0.50,2,16,1724,57,7,7,323,0.66,0.39,410,0.84,0.16,48,17,12,487,190
3.001,100218,121447,21229,0.21,6,32,964,52,0,0,344,0.88,0.26,355,0.91,0.09,28,4,4,391,102
3.002,85265,102646,17381,0.20,11,45,1512,53,2,2,374,0.90,0.31,362,0.87,0.13,39,3,11,415,128
3.003,97996,141928,43931,0.45,10,45,2016,67,6,6,331,0.76,0.49,348,0.79,0.21,65,8,17,438,216
3.004,92311,140005,47694,0.52,25,53,2362,55,2,2,319,0.76,0.40,344,0.82,0.18,52,11,11,418,168
4.001,122260,122132,-128,0.00,23,48,1896,65,0,0,273,0.68,0.47,322,0.81,0.20,53,14,11,400,188
4.002,81883,94714,12831,0.16,11,30,1324,63,1,1,136,0.52,0.73,185,0.71,0.29,59,5,12,261,190
4.003,90177,159117,68939,0.76,16,27,1664,64,0,0,112,0.30,0.62,298,0.80,0.20,47,14,14,373,232
4.004,102740,168750,66010,0.64,13,18,494,100,1,1,90,0.38,0.63,204,0.86,0.14,19,6,7,236,149
5.001,93271,145145,51874,0.56,9,19,1398,88,1,2,256,0.76,0.54,281,0.83,0.17,32,9,16,338,182
5.002,124818,133705,8888,0.07,16,42,2102,62,3,4,271,0.68,0.57,318,0.79,0.21,38,15,30,401,227
5.003,107886,156109,48224,0.45,5,21,1029,68,0,0,223,0.69,0.43,265,0.82,0.18,40,11,7,323,140
5.004,180000,240475,60475,0.34,5,6,416,90,0,0,149,0.79,0.24,179,0.95,0.05,3,5,2,189,45
6.001,218583,194623,-23961,-0.11,5,11,610,96,0,0,198,0.72,0.36,249,0.90,0.10,17,6,4,276,99
6.002,55192,112919,57727,1.05,2,13,1364,95,1,2,142,0.55,0.64,180,0.69,0.31,58,11,10,259,166
6.003,197488,196727,-761,0.00,5,11,1064,84,1,1,210,0.65,0.43,271,0.84,0.16,33,9,11,324,138
6.004,220188,167600,-52588,-0.24,4,19,1155,95,1,1,135,0.36,0.46,290,0.77,0.23,48,20,19,377,174
7.001,96255,118279,22025,0.23,3,24,1349,52,4,4,211,0.78,0.39,224,0.83,0.17,38,4,5,271,107
7.002,151600,141384,-10216,-0.07,0,12,1038,65,1,1,183,0.71,0.39,214,0.83,0.17,29,7,7,257,101
7.003,172467,148226,-24240,-0.14,4,18,1104,64,2,3,182,0.59,0.57,252,0.81,0.19,30,17,11,310,177
8.001,63250,95367,32117,0.51,8,13,1800,59,1,2,161,0.65,0.59,193,0.78,0.22,34,9,10,246,146
8.002,72090,74143,2053,0.03,7,12,1135,49,3,3,220,0.89,0.30,226,0.91,0.09,16,3,2,247,75
8.003,68738,61186,-7552,-0.11,4,5,644,40,0,0,152,0.78,0.40,175,0.89,0.11,16,2,3,196,78
8.004,75000,84200,9200,0.12,4,7,693,89,5,5,61,0.65,0.61,75,0.80,0.20,13,6,0,94,57
9.001,61514,66944,5430,0.09,4,11,994,61,3,4,104,0.65,0.61,129,0.81,0.19,22,3,6,160,98
9.002,95401,62366,-33035,-0.35,8,16,1260,67,1,1,173,0.77,0.72,154,0.68,0.32,40,15,16,225,162
9.003,58000,109900,51900,0.89,1,3,303,73,1,1,54,0.72,0.67,59,0.79,0.21,9,5,2,75,50
9.004,97715,117058,19342,0.20,18,80,2013,68,8,10,340,0.81,0.55,348,0.82,0.18,54,8,12,422,230
10.001,56050,53946,-2104,-0.04,17,75,1955,74,6,6,230,0.74,0.66,212,0.68,0.32,75,17,8,312,206
10.002,66275,88924,22649,0.34,16,42,1980,68,6,7,220,0.80,0.75,197,0.72,0.28,59,11,7,274,206
10.003,77038,93978,16940,0.22,18,31,1571,72,3,3,268,0.80,0.52,253,0.76,0.24,54,14,14,335,173
10.004,68408,70770,2362,0.03,4,20,1305,73,2,2,211,0.79,0.54,198,0.74,0.26,50,10,8,266,144
11.001,73421,91972,18551,0.25,13,37,1828,67,4,4,295,0.71,0.53,344,0.83,0.17,50,11,9,414,219
11.002,88177,89380,1203,0.01,17,33,1456,66,2,2,435,0.94,0.34,405,0.87,0.13,33,15,10,463,158
11.003,86459,88541,2082,0.02,10,23,1280,64,2,2,305,0.86,0.47,289,0.81,0.19,54,7,6,356,168
12.001,91599,87022,-4577,-0.05,12,27,930,56,0,0,414,0.92,0.29,399,0.89,0.11,34,8,8,449,130
12.002,105353,115197,9844,0.09,11,24,1260,41,1,1,690,0.96,0.15,680,0.95,0.05,28,5,5,718,111
12.003,101369,110300,8931,0.09,6,12,790,53,0,0,418,0.97,0.19,400,0.93,0.07,19,9,3,431,82
12.004,86044,113507,27463,0.32,2,5,890,54,0,0,315,0.84,0.39,321,0.86,0.14,41,7,4,373,145
14.001,49437,57616,8179,0.17,24,50,2051,69,5,5,170,0.59,0.66,214,0.74,0.26,57,9,9,289,191
14.002,46952,62683,15731,0.34,26,64,3886,76,10,12,381,0.80,0.68,319,0.67,0.33,118,21,17,475,322
14.003,65024,93684,28660,0.44,21,41,2637,78,11,12,356,0.78,0.47,383,0.84,0.16,53,12,8,456,216
14.004,72831,89154,16324,0.22,14,44,2060,56,3,5,325,0.84,0.53,303,0.78,0.22,61,13,10,387,205
118.052,62450,NA,NA,NA,5,5,60,43,0,0,16,0.11,0.80,133,0.94,0.06,2,6,1,142,113
147.001,86258,47281,-38978,-0.45,32,64,3014,59,10,11,403,0.84,0.56,387,0.80,0.20,71,15,9,482,269
147.002,112544,55938,-56605,-0.50,8,17,1401,58,1,2,224,0.82,0.54,229,0.84,0.16,30,11,2,272,148
147.003,45518,65589,20070,0.44,8,20,2482,58,8,10,328,0.83,0.51,330,0.83,0.17,37,20,9,396,201
